answer,title,type,allPeopleNumber,correctRate,analysis,options
"[""B""]",比特币的创始人是：,SC,0,,,"[""山本聪"",""中本聪"",""李笑来"",""约瑟夫.鲁宾""]"
"[""C""]",以下哪一个不是现有区块链的名字：,SC,0,,,"[""量子链"",""宇宙链 "",""银河链"",""小姨太""]"
"[""B""]",被誉为'中国比特币首富'是：,SC,0,,,"[""郭宏才"",""李笑来"",""赵长鹏"",""李林""]"
"[""C""]",以下哪个交易所来自中国：,SC,0,,,"[""BitFlyer"",""itBit"",""Binance"",""Bitfinex""]"
"[""B""]",在比特币的第一笔现实世界交易中，10000BTC被用于购买了：,SC,0,,,"[""可乐"",""披萨"",""薯片"",""汉堡""]"
"[""B""]",比特币总量为：,SC,0,,,"[""2200万"",""2100万"",""2000万""]"
"[""D""]",以下哪个地区不属于比特币主要矿区分布点：,SC,0,,,"[""四川"",""内蒙古"",""辽宁"",""上海""]"
"[""B""]",比特币的数据区块运算每产生多少个区块后进行一次难度调整：,SC,0,,,"[""2015个"",""2016个"",""2017个"",""2018个""]"
"[""A""]",在一次比特币交易中，数字签名由谁生成：,SC,0,,,"[""比特币转出人"",""比特币签收人"",""双方均可""]"
"[""D""]",以下哪一种不属于区块链的分类之一：,SC,0,,,"[""联盟链"",""混合链"",""共有链"",""分布链""]"
"[""A""]",'经济学人'曾经把区块链技术比喻为：,SC,0,,,"[""信任的机器"",""实现财富自由之路"",""杀手级应用""]"
"[""A""]",超级账本（Hyperledger）项目最初由Linux基金会与哪个公司一同发起：,SC,0,,,"[""IBM"",""思科"",""微软"",""谷歌""]"
"[""A""]",以太坊的首选编程语言Solidity语法与以下哪一种传统编程语言相近：,SC,0,,,"[""JavaScript"",""Python"",""C++"",""C""]"
"[""C""]",以太坊官方建议的区块链交易执行确认时间约为：,SC,0,,,"[""1分钟x12个区块"",""10分钟x12个区块"",""15秒x12个区块"",""5分钟x12个区块""]"
"[""B""]",瑞波币的简称是：,SC,0,,,"[""RBB"",""XRP"",""XRB""]"
"[""C""]",以下哪一个不是区块链联盟：,SC,0,,,"[""R3 CEV"",""ChinaLedger"",""Frontier"",""The Post-Trade Distributed Ledger""]"
"[""C""]",以下哪一个不是区块链技术中用到的算法：,SC,0,,,"[""椭圆曲线加密算法"",""非对称加密算法"",""公钥加密算法""]"
"[""A""]",LTC采用挖矿算法是：,SC,0,,,"[""Scrypt算法"",""DPOSS算法"",""Ethash算法""]"
"[""A""]",首次提出'智能合约'概念的人是：,SC,0,,,"[""密码学家Nick Szabo"",""以太坊创始人Vitalik Buterin"",""比特币创造者Satoshi Nakamoto""]"
"[""A""]",被称为'币圈V神'的是：,SC,0,,,"[""以太坊创始人"",""比特币创始人"",""智能合约之父"",""火币网创始人""]"
"[""B""]",币圈的'门头沟'事件涉及到哪一家交易所：,SC,0,,,"[""BitFlyer"",""MT.Gox"",""bithumb"",""GDAX""]"
"[""A""]",基于Azure云平台的BaaS是由哪一个公司推出的：,SC,0,,,"[""微软"",""IBM"",""谷歌"",""亚马逊""]"
"[""C""]",控制全网超过多少的节点时，单个节点对账本的篡改生效：,SC,0,,,"[""49%"",""50%"",""51%"",""100%""]"
"[""A""]",EOS的别称是：,SC,0,,,"[""柚子币"",""西瓜币"",""以藕丝""]"
"[""A""]",有'币圈一姐'之称的何一参与创建了哪一家公司：,SC,0,,,"[""币安"",""火币网"",""比特币中国""]"
"[""B""]",大家对区块链2.0时代的解释为：,SC,0,,,"[""比特币区块链"",""以太坊区块链"",""超越货币、金融范围的区块链应用""]"
"[""C""]",下面三个选项中，哪一组全部是共识机制的简称：,SC,0,,,"[""POW、POS、MLGB"",""POA、POW、PPT"",""POW、POS、DPOS"",""DPS、AOE、BKB""]"
"[""A""]",区块链技术是下列哪种组合的新型应用模式：,SC,0,,,"[""分布式数据存储、点对点传输、共识机制、加密算法"",""点对点传输、共识机制、加密算法、中心化数据储存"",""第三方背书、加密算法、中心化服务器储存""]"
"[""A""]",以太坊的英文全称是：,SC,0,,,"[""Ethereum"",""Ethrireum"",""Ethertech"",""EasonTheHero""]"
"[""D""]",比特币的产块间隔为：,SC,0,,,"[""7秒"",""15秒"",""5分钟"",""10分钟""]"
"[""D""]",以太坊的创始人是:,SC,0,,,"[""80后"",""00后"",""70后"",""90后""]"
"[""A""]",下列哪一个公有链采用了DPOS共识机制：,SC,0,,,"[""EOS"",""ETH"",""BTC"",""DOTA""]"
"[""B""]",什么是HASH：,SC,0,,,"[""哈希表格，是区块链中账本专用的记账格式"",""是散列函数，它将任意长度的数据映射到有限长度的域上"",""哈希算法，是区块链中特有的一种加密算法"",""韩国超一线组合，时下最火男团""]"
"[""D""]",下列选择中哪一种是最安全的藏私房钱方式：,SC,0,,,"[""藏在自家卧室的书架上的《西游记》中"",""把私房钱交给自己的好兄弟保管"",""藏啥私房钱！我说一我媳妇儿不敢说二"",""把钱换成数字加密货币，并把货币放到自己的冷钱包里""]"
"[""C""]",以下哪种是最有效的报复仇人的方式：,SC,0,,,"[""抢走他的媳妇儿/女朋友，让他戴绿帽子 "",""在月黑风高的夜晚找人暴揍他一顿，打得他亲妈都不认识"",""忽悠他加杠杆买空气币，让他赔地他妈都不认识他"",""到处跟别人去说他是个变态杀人狂，让他亲妈不敢认他""]"
"[""A""]",BFT在区块链领域中是指什么：,SC,0,,,"[""Byzantine Fault Tolerance，拜占庭容错算法，区块链的一种共识机制"",""Bubble Force Tolerance，泡沫力容忍值，判断当前区块链是否处于泡沫的量化值"",""Bad Firm Test，坏公司检测，投资机构评估区块链团队时的一种评估标准"",""Battle Fire Tank，一种黑客研发的用来破坏区块链的病毒""]"
"[""A""]",区块链媒体中，颜值最高的一家媒体叫做：,SC,0,,,"[""猫眼财经聚焦"",""猫眼聚焦"",""猫眼财经""]"
"[""D""]",区块链领域中的'挖矿'是指：,SC,0,,,"[""矿工们深入危险的矿洞寻找用来制作区块链的特殊金属"",""网络节点们通过一起玩儿'淘金者'游戏，得分最高的人可以获得区块的记账权"",""以前被用来挖矿的挖掘机现在被用来当做超级电脑，运行计算程序"",""共识机制中的节点通过比较算力来竞争到区块的记账权，并获得代币奖励""]"
"[""B""]",小明是一所高校的大学生，他想学习区块链相关知识，他最有效的学习方法是：,SC,0,,,"[""报名'新东方厨师学校'，学好一身厨艺，争取可以到区块链公司当厨师"",""关注'猫眼财经聚焦'，认真阅读每一篇公众号文章，并积极参加公众号组织的活动"",""区块链技术哪家强，快去山东找蓝翔！学习'如何使用挖掘机挖矿'"",""去韩国整容学习，改变自己的颜值与气质，争取得到币圈大佬们的青睐""]"
"[""D""]",比特币价格从2009年至今，一共翻了多少倍：,SC,0,,,"[""一千倍"",""一万倍"",""十万倍"",""一百万倍""]"
"[""A""]",下列哪一个是以太坊出品的区块链游戏：,SC,0,,,"[""CryptoKitties，区块链养猫游戏"",""League of Blockchain（LOB）,区块链MOBA游戏"",""Players Unknown Blockchain Ground（PUBG）， 区块链射击游戏"",""Crytpo Strike(CS)，区块链枪战游戏大作""]"
"[""C""]",如果你'聪明'地'空手套白狼'，发了空气币圈了钱，然后卷钱跑路了。那么你之后的人生是：,SC,0,,,"[""从此会所嫩模，过上了没羞没臊的美滋滋人生"",""你的壮举被币圈儿所认可，并被奉为币圈儿大佬"",""你最终逃不过国家的制裁，最后锒铛入狱""]"
"[""D""]",在数字货币交易市场，币价的涨跌幅：,SC,0,,,"[""每天不可超过10%"",""每天不可超过50%"",""每天不可超过100%"",""没有限制""]"
"[""A""]",'猫眼财经聚焦'是：,SC,0,,,"[""是一家专业、敏锐、温情的区块链媒体。专注于报道区块链咨询、科普区块链知识、分享大咖观点、并使用独创的区块链项目评级模型对区块链项目进行评级"",""选A的你有前途"",""选A的你最聪明"",""选A的你最帅/美""]"
"[""A""]",比特币中的一个区块会由哪几部分组成：,SC,0,,,"[""上一个区块的哈希值、时间戳、交易信息"",""当前区块的哈希值、时间戳、交易信息"",""区块头、区块身、区块尾""]"
"[""A""]",比特币每产生多少个区块，区块奖励就会减半：,SC,0,,,"[""210,000个"",""110,000个"",""310,000个"",""410,000个""]"
"[""A""]",基于以太坊发行的虚拟数字货币需要遵守：,SC,0,,,"[""ERC-20协议"",""ERC-30协议"",""ERC-61协议"",""ERC-72协议""]"
